#CompanyClassID,AgentClassID
#市場-注文A,
CC001,AC007
#販社-販売計画A/出庫A/調達計画A/注文A,
CC002,AC001
CC002,AC003
CC002,AC006
CC002,AC007
#工場-供給計画A/出庫A/生産計画A/生産A/調達計画A/注文A,
CC003,AC002
CC003,AC003
CC003,AC004
CC003,AC005
CC003,AC006
CC003,AC007
#倉庫-供給計画A/出庫A/調達計画A/注文A,
CC004,AC002
CC004,AC003
CC004,AC006
CC004,AC007
#サプライヤ-出庫A,
CC007,AC003

#統括-製品在庫融通A/部品在庫融通A/注残融通A/在庫融通A
#CC008,AC008
#CC008,AC009
#CC008,AC012
#CC008,AC013

#統括-在庫融通A/注残融通A/移送指示最適化A
CC008,AC009
CC008,AC012
CC008,AC013

#販社/工場/倉庫-リソース状態値計算A
CC002,AC008
CC003,AC008
CC004,AC008

#販社/工場/倉庫-製品在庫水準A,
CC002,AC010
CC003,AC010
CC004,AC010
#工場-部品在庫水準A,
CC003,AC011

#加工/検査工場-供給計画A/出庫A/加工計画A/加工指示A/調達計画A/注文A/製品在庫水準A
CC009,AC002
CC009,AC003
CC009,AC014
CC009,AC015
CC009,AC006
CC009,AC007
CC009,AC008
CC009,AC010

